sheet_sources,track_present,crash_present,flight_no,route,aircraft_no,aircraft_type,time_local_cst,time_utc,unix_time,longitude,latitude,altitude_ft,altitude_m,ground_speed_kn,ground_speed_kph,vertical_speed_fpm,vertical_speed_fpm_calc,heading_deg,squawk,fr24_match,fr24_time_delta_s,fr24_time_utc,fr24_no_position,fr24_altitude_ft,fr24_speed_kn,fr24_track_deg,fr24_vspeed_fpm
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:10,2022-03-21T05:16:10Z,1647839770.000,102.928726,25.11582,6825,2080.26001,162,300.023987,64,,219,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:11,2022-03-21T05:16:11Z,1647839771.000,102.928207,25.11516,6850,2087.879883,166,307.432007,192,1500.000592,219,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:12,2022-03-21T05:16:12Z,1647839772.000,102.927811,25.1147,6875,2095.5,169,312.988007,1024,1499.999649,219,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:13,2022-03-21T05:16:13Z,1647839773.000,102.927231,25.11405,6900,2103.120117,169,312.988007,1024,1499.999649,219,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:14,2022-03-21T05:16:14Z,1647839774.000,102.926743,25.11342,6925,2110.73999,170,314.839996,1472,1500.000592,219,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:15,2022-03-21T05:16:15Z,1647839775.000,102.926277,25.112921,6975,2125.97998,170,314.839996,1856,2999.999299,218,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:16,2022-03-21T05:16:16Z,1647839776.000,102.925781,25.11228,7000,2133.600098,170,314.839996,2048,1500.000592,218,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:17,2022-03-21T05:16:17Z,1647839777.000,102.925011,25.111401,7050,2148.840088,171,316.691986,2368,2999.999299,218,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:18,2022-03-21T05:16:18Z,1647839778.000,102.92469,25.111019,7075,2156.459961,170,314.839996,2496,1499.999649,218,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:19,2022-03-21T05:16:19Z,1647839779.000,102.924187,25.110399,7125,2171.699951,170,314.839996,2752,3000.001185,217,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:20,2022-03-21T05:16:20Z,1647839780.000,102.923698,25.10977,7175,2186.939941,170,314.839996,2880,2999.999299,217,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:21,2022-03-21T05:16:21Z,1647839781.000,102.92318,25.109159,7225,2202.179932,169,312.988007,3008,2999.999299,217,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:22,2022-03-21T05:16:22Z,1647839782.000,102.922668,25.108509,7275,2217.419922,170,314.839996,3008,3000.001185,217,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:23,2022-03-21T05:16:23Z,1647839783.000,102.922157,25.10788,7300,2225.040039,169,312.988007,2944,1499.999649,217,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:24,2022-03-21T05:16:24Z,1647839784.000,102.921631,25.107201,7350,2240.280029,170,314.839996,2944,3000.001185,216,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:25,2022-03-21T05:16:25Z,1647839785.000,102.921143,25.10655,7400,2255.52002,170,314.839996,3008,2999.999299,216,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:26,2022-03-21T05:16:26Z,1647839786.000,102.920532,25.10577,7475,2278.379883,170,314.839996,3136,4499.998948,216,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:27,2022-03-21T05:16:27Z,1647839787.000,102.920029,25.10516,7525,2293.620117,170,314.839996,3136,3000.001185,216,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:28,2022-03-21T05:16:28Z,1647839788.000,102.919571,25.10449,7575,2308.860107,169,312.988007,3392,2999.999299,215,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:29,2022-03-21T05:16:29Z,1647839789.000,102.919037,25.103849,7625,2324.100098,169,312.988007,3392,2999.999299,215,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:30,2022-03-21T05:16:30Z,1647839790.000,102.918549,25.10321,7675,2339.340088,169,312.988007,3328,3000.001185,215,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:31,2022-03-21T05:16:31Z,1647839791.000,102.91806,25.102551,7700,2346.959961,169,312.988007,3072,1499.999649,215,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:32,2022-03-21T05:16:32Z,1647839792.000,102.91758,25.101879,7750,2362.199951,171,316.691986,2752,3000.001185,215,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:33,2022-03-21T05:16:33Z,1647839793.000,102.916969,25.101101,7775,2369.820068,171,316.691986,2368,1499.999649,215,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:34,2022-03-21T05:16:34Z,1647839794.000,102.916496,25.10041,7800,2377.439941,172,318.544006,2048,1499.999649,215,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:35,2022-03-21T05:16:35Z,1647839795.000,102.916161,25.10005,7825,2385.060059,173,320.395996,1920,1500.000592,215,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:36,2022-03-21T05:16:36Z,1647839796.000,102.91555,25.09923,7850,2392.679932,174,322.247986,1792,1499.999649,215,2101,nearest,0.242,2022-03-21 05:16:36Z.242,N,7850,174,214,1792
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:37,2022-03-21T05:16:37Z,1647839797.000,102.915047,25.098551,7875,2400.300049,175,324.100006,1728,1499.999649,216,2101,nearest,0.758,2022-03-21 05:16:36Z.242,N,7850,174,214,1792
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:38,2022-03-21T05:16:38Z,1647839798.000,102.914528,25.0979,7925,2415.540039,176,325.951996,1856,3000.001185,216,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:39,2022-03-21T05:16:39Z,1647839799.000,102.913963,25.09724,7950,2423.159912,176,325.951996,2176,1499.999649,217,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:40,2022-03-21T05:16:40Z,1647839800.000,102.913406,25.096569,8000,2438.399902,177,327.803986,2176,3000.001185,218,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:41,2022-03-21T05:16:41Z,1647839801.000,102.912819,25.09594,8025,2446.02002,178,329.656006,2240,1499.999649,218,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:42,2022-03-21T05:16:42Z,1647839802.000,102.912407,25.09543,8075,2461.26001,178,329.656006,2496,2999.999299,218,2101,nearest,0.802,2022-03-21 05:16:42Z.802,P,8100,178,218,2624
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:43,2022-03-21T05:16:43Z,1647839803.000,102.911827,25.09479,8125,2476.5,178,329.656006,2624,3000.001185,219,2101,nearest,0.198,2022-03-21 05:16:42Z.802,P,8100,178,218,2624
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:44,2022-03-21T05:16:44Z,1647839804.000,102.91127,25.09412,8150,2484.120117,178,329.656006,2752,1499.999649,219,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:45,2022-03-21T05:16:45Z,1647839805.000,102.91066,25.09351,8200,2499.360107,178,329.656006,2816,2999.999299,220,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:46,2022-03-21T05:16:46Z,1647839806.000,102.91008,25.092871,8225,2506.97998,178,329.656006,2560,1500.000592,221,2101,none,,,,,,,
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 13:16:47,2022-03-21T05:16:47Z,1647839807.000,102.909348,25.092119,8250,2514.600098,178,329.656006,2304,1499.999649,222,2101,none,,,,,,,
