sheet_sources,track_present,crash_present,flight_no,route,aircraft_no,aircraft_type,time_local_cst,time_utc,unix_time,longitude,latitude,altitude_ft,altitude_m,ground_speed_kn,ground_speed_kph,vertical_speed_fpm,vertical_speed_fpm_calc,heading_deg,squawk,fr24_match,fr24_time_delta_s,fr24_time_utc,fr24_no_position,fr24_altitude_ft,fr24_speed_kn,fr24_track_deg,fr24_vspeed_fpm,fdr_overlap,fdr_offset_s,fdr_time_abs,seconds_to_fdr_end,fdr_time_local_cst,fdr_altitude_press,fdr_altitude_press_quality,fdr_ground_spd,fdr_ground_spd_quality,fdr_heading,fdr_heading_quality,fdr_pitch_angle,fdr_pitch_angle_quality,fdr_roll_angle,fdr_roll_angle_quality,fdr_roll_rate,fdr_roll_rate_quality,fdr_absolute_roll_rate,fdr_absolute_roll_rate_quality,fdr_yaw_rate,fdr_yaw_rate_quality,fdr_accel_vert,fdr_accel_vert_quality,fdr_accel_long,fdr_accel_long_quality,fdr_accel_lat,fdr_accel_lat_quality,fdr_ctrl_col_pos_l,fdr_ctrl_col_pos_l_quality,fdr_ctrl_whl_pos_l,fdr_ctrl_whl_pos_l_quality,fdr_elevator_l,fdr_elevator_l_quality,fdr_elevator_r,fdr_elevator_r_quality,fdr_aileron_l,fdr_aileron_l_quality,fdr_aileron_r,fdr_aileron_r_quality,fdr_rudder,fdr_rudder_quality,fdr_eng1_fuel_flow,fdr_eng1_fuel_flow_quality,fdr_eng2_fuel_flow,fdr_eng2_fuel_flow_quality,fdr_eng1_n1,fdr_eng1_n1_quality,fdr_eng2_n1,fdr_eng2_n1_quality,fdr_eng1_n2_actual,fdr_eng1_n2_actual_quality,fdr_eng2_n2_actual,fdr_eng2_n2_actual_quality,fdr_eng1_cutoff_sw,fdr_eng1_cutoff_sw_quality,fdr_eng2_cutoff_sw,fdr_eng2_cutoff_sw_quality
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:05,2022-03-21T06:16:05Z,1647843365.000,110.224564,23.45632,29100,8869.679688,455,842.659973,0,0,103,2101,nearest,0.064,2022-03-21 06:16:05Z.064,P,29100,455,102,0,1,1647554687.600,288677.4,300.1391,2022-03-21 14:16:05,29100,interpolated,454,interpolated,104.41,interpolated,2.64,interpolated,0.7,interpolated,0,interpolated,0,interpolated,0,interpolated,0.989046,interpolated,0.0469,observed,-0.0162,observed,0.64,observed,3.16,observed,-3.8,observed,-3.44,observed,-2.49,observed,3.86,observed,-1,interpolated,2589.412798,interpolated,2560,interpolated,83.38,interpolated,83.38,interpolated,92.375,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:06,2022-03-21T06:16:06Z,1647843366.000,110.226784,23.45586,29100,8869.679688,455,842.659973,0,0,103,2101,nearest,0.936,2022-03-21 06:16:05Z.064,P,29100,455,102,0,1,1647554687.600,288678.4,299.1391,2022-03-21 14:16:06,29099.2484,interpolated,454,interpolated,104.41,interpolated,2.64,interpolated,0.7,interpolated,0,interpolated,0,interpolated,0,interpolated,0.987593,interpolated,0.0469,observed,-0.0162,observed,0.64,observed,2.81,observed,-3.85,observed,-3.39,observed,-2.49,observed,3.81,observed,-1,interpolated,,missing,2560,interpolated,,missing,83.38,interpolated,92.261037,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:07,2022-03-21T06:16:07Z,1647843367.000,110.228577,23.45549,29100,8869.679688,455,842.659973,0,0,103,2101,none,,,,,,,,1,1647554687.600,288679.4,298.1391,2022-03-21 14:16:07,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,2560,interpolated,,missing,83.38,interpolated,92.25,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:08,2022-03-21T06:16:08Z,1647843368.000,110.230812,23.455021,29100,8869.679688,455,842.659973,0,0,103,2101,none,,,,,,,,1,1647554687.600,288680.4,297.1391,2022-03-21 14:16:08,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,0.9905,interpolated,0.0469,observed,-0.0142,observed,0.66,observed,3.16,observed,-3.75,observed,-3.39,observed,-2.49,observed,3.86,observed,,missing,,missing,2560,interpolated,,missing,83.38,interpolated,92.25,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:09,2022-03-21T06:16:09Z,1647843369.000,110.234383,23.454269,29100,8869.679688,455,842.659973,0,0,103,2101,none,,,,,,,,1,1647554687.600,288681.4,296.1391,2022-03-21 14:16:09,29101,interpolated,454,interpolated,104.41,interpolated,2.46,interpolated,0.7,interpolated,0.1,interpolated,0,interpolated,0,interpolated,0.9882,interpolated,0.0469,observed,-0.0142,observed,0.66,observed,2.46,observed,-3.8,observed,-3.39,observed,-2.39,observed,3.76,observed,-1,interpolated,2578.587202,interpolated,2560,interpolated,83.38,interpolated,83.38,interpolated,92.363963,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:10,2022-03-21T06:16:10Z,1647843370.000,110.235718,23.453979,29100,8869.679688,455,842.659973,0,0,103,2101,nearest,0.006,2022-03-21 06:16:10Z.006,P,29100,455,102,0,1,1647554687.600,288682.4,295.1391,2022-03-21 14:16:10,29101,interpolated,454,interpolated,104.41,interpolated,2.46,interpolated,0.786904,interpolated,0,interpolated,0,interpolated,0,interpolated,0.991107,interpolated,0.0469,observed,-0.0142,observed,0.66,observed,2.11,observed,-3.7,observed,-3.39,observed,-2.34,observed,3.71,observed,-1,interpolated,2592,interpolated,2560,interpolated,83.38,interpolated,83.38,interpolated,92.375,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:11,2022-03-21T06:16:11Z,1647843371.000,110.237938,23.453529,29100,8869.679688,455,842.659973,0,0,103,2101,nearest,0.994,2022-03-21 06:16:10Z.006,P,29100,455,102,0,1,1647554687.600,288683.4,294.1391,2022-03-21 14:16:11,29101.7516,interpolated,454,interpolated,104.41,interpolated,2.46,interpolated,0.88,interpolated,-0.04408,interpolated,0,interpolated,0,interpolated,0.9836,interpolated,0.0469,observed,-0.0142,observed,0.68,observed,2.11,observed,-3.75,observed,-3.39,observed,-2.34,observed,3.66,observed,-1,interpolated,2589.412798,interpolated,2560,interpolated,83.38,interpolated,83.38,interpolated,92.375,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:12,2022-03-21T06:16:12Z,1647843372.000,110.240158,23.45306,29100,8869.679688,455,842.659973,0,0,103,2101,none,,,,,,,,1,1647554687.600,288684.4,293.1391,2022-03-21 14:16:12,29100,interpolated,454,interpolated,104.41,interpolated,2.46,interpolated,0.88,interpolated,-0.05592,interpolated,0,interpolated,0,interpolated,0.99361,interpolated,0.0469,observed,-0.0142,observed,0.68,observed,2.11,observed,-3.8,observed,-3.39,observed,-2.3,observed,3.66,observed,-1,interpolated,2576,interpolated,2560,interpolated,83.38,interpolated,83.38,interpolated,92.375,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:13,2022-03-21T06:16:13Z,1647843373.000,110.242409,23.4526,29100,8869.679688,455,842.659973,0,0,103,2101,none,,,,,,,,1,1647554687.600,288685.4,292.1391,2022-03-21 14:16:13,29101,interpolated,454,interpolated,104.530384,interpolated,2.46,interpolated,0.7,interpolated,-0.2,interpolated,0,interpolated,0,interpolated,0.985054,interpolated,0.0469,observed,-0.0162,observed,0.7,observed,2.46,observed,-3.7,observed,-3.39,observed,-2.34,observed,3.71,observed,-1,interpolated,2578.587202,interpolated,2560,interpolated,83.38,interpolated,83.38,interpolated,92.375,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:16:14,2022-03-21T06:16:14Z,1647843374.000,110.244614,23.452101,29100,8869.679688,455,842.659973,0,0,103,2101,none,,,,,,,,1,1647554687.600,288686.4,291.1391,2022-03-21 14:16:14,29101.2484,interpolated,454,interpolated,104.77,interpolated,2.46,interpolated,0.7,interpolated,0.1,interpolated,-0.03885,interpolated,-0.06216,interpolated,0.984446,interpolated,0.0469,observed,-0.0142,observed,0.68,observed,2.11,observed,-3.8,observed,-3.39,observed,-2.3,observed,3.66,observed,-1,interpolated,,missing,2560,interpolated,,missing,83.38,interpolated,92.261037,interpolated,92.25,interpolated,RUN,nearest,RUN,nearest
