sheet_sources,track_present,crash_present,flight_no,route,aircraft_no,aircraft_type,time_local_cst,time_utc,unix_time,longitude,latitude,altitude_ft,altitude_m,ground_speed_kn,ground_speed_kph,vertical_speed_fpm,vertical_speed_fpm_calc,heading_deg,squawk,fr24_match,fr24_time_delta_s,fr24_time_utc,fr24_no_position,fr24_altitude_ft,fr24_speed_kn,fr24_track_deg,fr24_vspeed_fpm,fdr_overlap,fdr_offset_s,fdr_time_abs,seconds_to_fdr_end,fdr_time_local_cst,fdr_altitude_press,fdr_altitude_press_quality,fdr_ground_spd,fdr_ground_spd_quality,fdr_heading,fdr_heading_quality,fdr_pitch_angle,fdr_pitch_angle_quality,fdr_roll_angle,fdr_roll_angle_quality,fdr_roll_rate,fdr_roll_rate_quality,fdr_absolute_roll_rate,fdr_absolute_roll_rate_quality,fdr_yaw_rate,fdr_yaw_rate_quality,fdr_accel_vert,fdr_accel_vert_quality,fdr_accel_long,fdr_accel_long_quality,fdr_accel_lat,fdr_accel_lat_quality,fdr_ctrl_col_pos_l,fdr_ctrl_col_pos_l_quality,fdr_ctrl_whl_pos_l,fdr_ctrl_whl_pos_l_quality,fdr_elevator_l,fdr_elevator_l_quality,fdr_elevator_r,fdr_elevator_r_quality,fdr_aileron_l,fdr_aileron_l_quality,fdr_aileron_r,fdr_aileron_r_quality,fdr_rudder,fdr_rudder_quality,fdr_eng1_fuel_flow,fdr_eng1_fuel_flow_quality,fdr_eng2_fuel_flow,fdr_eng2_fuel_flow_quality,fdr_eng1_n1,fdr_eng1_n1_quality,fdr_eng2_n1,fdr_eng2_n1_quality,fdr_eng1_n2_actual,fdr_eng1_n2_actual_quality,fdr_eng2_n2_actual,fdr_eng2_n2_actual_quality,fdr_eng1_cutoff_sw,fdr_eng1_cutoff_sw_quality,fdr_eng2_cutoff_sw,fdr_eng2_cutoff_sw_quality
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:09,2022-03-21T06:08:09Z,1647842889.000,109.156952,23.675631,29100,8869.679688,458,848.216003,64,0,101,2101,none,,,,,,,,1,1647554687.600,288201.4,776.1391,2022-03-21 14:08:09,29106.2484,interpolated,457,interpolated,103.36,interpolated,2.64,interpolated,8.61,interpolated,-0.15592,interpolated,0.35135,interpolated,0.36216,interpolated,1.002507,interpolated,0.051,observed,-0.0142,observed,0.31,observed,2.81,observed,-4.35,observed,-3.85,observed,-2.49,observed,3.81,observed,-1,interpolated,2717.412798,interpolated,2698.587202,interpolated,84.774323,interpolated,84.88,interpolated,,missing,93.125,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:10,2022-03-21T06:08:10Z,1647842890.000,109.159172,23.675159,29100,8869.679688,458,848.216003,64,0,102,2101,none,,,,,,,,1,1647554687.600,288202.4,775.1391,2022-03-21 14:08:10,29106.7516,interpolated,457,interpolated,103.71,interpolated,2.46,interpolated,8.353096,interpolated,-0.51184,interpolated,0.3125,interpolated,0.3,interpolated,0.996454,interpolated,0.051,observed,-0.0142,observed,0.29,observed,0.35,observed,-4.35,observed,-3.9,observed,-1.9,observed,3.28,observed,-1,interpolated,2706.587202,interpolated,2693.412798,interpolated,84.88,interpolated,84.88,interpolated,93.125,interpolated,93.176463,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:11,2022-03-21T06:08:11Z,1647842891.000,109.163261,23.674391,29100,8869.679688,458,848.216003,64,0,102,2101,none,,,,,,,,1,1647554687.600,288203.4,774.1391,2022-03-21 14:08:11,29107.7516,interpolated,457,interpolated,104.06,interpolated,2.46,interpolated,7.56102,interpolated,-1.35592,interpolated,0.27365,interpolated,0.3,interpolated,0.995,interpolated,0.051,observed,-0.0121,observed,0.26,observed,-4.57,observed,-4.41,observed,-3.95,observed,-0.89,observed,2.25,observed,-1,interpolated,2720,interpolated,2698.587202,interpolated,84.88,interpolated,84.88,interpolated,93.125,interpolated,93.25,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:12,2022-03-21T06:08:12Z,1647842892.000,109.164612,23.674089,29100,8869.679688,458,848.216003,64,0,102,2101,nearest,0.072,2022-03-21 06:08:12Z.072,P,29100,458,101,64,1,1647554687.600,288204.4,773.1391,2022-03-21 14:08:12,29107.2484,interpolated,457,interpolated,104.41,interpolated,2.46,interpolated,5.898944,interpolated,-2.21184,interpolated,0.125,interpolated,0.1,interpolated,0.984446,interpolated,0.051,observed,-0.0121,observed,0.26,observed,-7.73,observed,-4.46,observed,-3.95,observed,-0.11,observed,1.44,observed,-1,interpolated,2720,interpolated,2704,interpolated,84.88,interpolated,84.88,interpolated,93.125,interpolated,93.198537,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:13,2022-03-21T06:08:13Z,1647842893.000,109.16687,23.673611,29100,8869.679688,458,848.216003,0,0,102,2101,nearest,0.928,2022-03-21 06:08:12Z.072,P,29100,458,101,64,1,1647554687.600,288205.4,772.1391,2022-03-21 14:08:13,29107.7516,interpolated,457,interpolated,104.41,interpolated,2.46,interpolated,3.527212,interpolated,-2.6,interpolated,0,interpolated,0,interpolated,0.9859,interpolated,0.051,observed,-0.0121,observed,0.24,observed,-6.33,observed,-4.46,observed,-3.95,observed,-0.37,observed,1.7,observed,-1,interpolated,2717.412798,interpolated,2704,interpolated,84.88,interpolated,84.88,interpolated,93.125,interpolated,93.125,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:14,2022-03-21T06:08:14Z,1647842894.000,109.170052,23.672979,29100,8869.679688,458,848.216003,0,0,102,2101,none,,,,,,,,1,1647554687.600,288206.4,771.1391,2022-03-21 14:08:14,29107.7516,interpolated,457.1124,interpolated,104.41,interpolated,2.46,interpolated,1.236192,interpolated,-1.84408,interpolated,-0.08615,interpolated,-0.1,interpolated,0.9859,interpolated,0.051,observed,-0.0121,observed,0.22,observed,-1.05,observed,-4.46,observed,-4,observed,-1.6,observed,2.94,observed,-1,interpolated,2706.587202,interpolated,2704,interpolated,84.88,interpolated,84.88,interpolated,93.125,interpolated,93.125,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:15,2022-03-21T06:08:15Z,1647842895.000,109.170937,23.672791,29100,8869.679688,458,848.216003,0,0,102,2101,none,,,,,,,,1,1647554687.600,288207.4,770.1391,2022-03-21 14:08:15,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,2721.293601,interpolated,2704,interpolated,84.88,interpolated,84.88,interpolated,,missing,93.125,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:16,2022-03-21T06:08:16Z,1647842896.000,109.17318,23.672331,29100,8869.679688,459,850.067993,0,0,102,2101,none,,,,,,,,1,1647554687.600,288208.4,769.1391,2022-03-21 14:08:16,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,2729.293601,interpolated,2704,interpolated,84.88,interpolated,84.88,interpolated,,missing,93.125,interpolated,,missing,,missing
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:17,2022-03-21T06:08:17Z,1647842897.000,109.175011,23.67197,29100,8869.679688,459,850.067993,0,0,102,2101,none,,,,,,,,1,1647554687.600,288209.4,768.1391,2022-03-21 14:08:17,29107.2484,interpolated,457.5,interpolated,104.41,interpolated,2.46,interpolated,-0.53,interpolated,0.1,interpolated,-0.125,interpolated,-0.1,interpolated,0.991107,interpolated,0.051,observed,-0.0142,observed,0.22,observed,3.87,observed,-4.46,observed,-4.05,observed,-2.69,observed,4,observed,-1,interpolated,2736,interpolated,2704,interpolated,84.88,interpolated,84.88,interpolated,,missing,93.125,interpolated,RUN,nearest,RUN,nearest
track,1,0,MU5735,KMG-CAN,B1791,B738,2022-03-21 14:08:18,2022-03-21T06:08:18Z,1647842898.000,109.177261,23.67153,29100,8869.679688,459,850.067993,0,0,102,2101,nearest,0.064,2022-03-21 06:08:18Z.064,P,29100,459,102,0,1,1647554687.600,288210.4,767.1391,2022-03-21 14:08:18,29106.2484,interpolated,457.5,interpolated,104.41,interpolated,2.46,interpolated,-0.35,interpolated,0.2,interpolated,-0.0625,interpolated,-0.1,interpolated,0.989654,interpolated,0.051,observed,-0.0142,observed,0.18,observed,3.87,observed,-4.46,observed,-4.1,observed,-2.74,observed,4.05,observed,-1,interpolated,2728.238395,interpolated,2704,interpolated,84.855677,interpolated,84.88,interpolated,93.125,interpolated,93.125,interpolated,RUN,nearest,RUN,nearest
